perovskite_formula,current_density,repetition_index,VRHE,RA,RB,t,mu,QA,Nd,XA,XB,mu_t
LaMn0.5Cu0.5O3,0.05,rep7,1.69,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaMn0.5Cu0.5O3,0.05,rep8,1.693,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaMn0.5Cu0.5O3,0.05,rep9,1.901,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaMn0.5Cu0.5O3,0.05,rep10,1.771,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaMn0.5Cu0.5O3,0.05,rep11,1.765,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaMn0.5Cu0.5O3,0.05,rep12,1.783,1.36,0.59,0.987762565,0.437037037,3.0,6.0,1.1,1.725,0.442451508
LaNi0.9Fe0.1O3,0.05,rep1,1.6,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep2,1.596,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep3,1.597,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep4,1.604,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep5,1.6,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep6,1.596,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep7,1.602,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep8,1.597,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep9,1.855,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep10,1.788,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep11,1.77,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.9Fe0.1O3,0.05,rep12,1.79,1.36,0.559,1.003802712,0.414074074,3.0,6.8,1.1,1.902,0.412505435
LaNi0.8Fe0.2O3,0.05,rep1,1.588,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep2,1.591,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep3,1.591,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep4,1.587,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep5,1.588,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep6,1.592,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep7,1.592,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep8,1.59,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep9,1.833,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep10,1.756,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep11,1.77,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaNi0.8Fe0.2O3,0.05,rep12,1.748,1.36,0.558,1.004328814,0.413333333,3.0,6.6,1.1,1.894,0.411551802
LaFeO3,0.05,rep1,1.629,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep2,1.63,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep3,1.628,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep4,1.63,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep5,1.631,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep6,1.629,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep7,1.631,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep8,1.631,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep9,1.787,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep10,1.759,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep11,1.765,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
LaFeO3,0.05,rep12,1.752,1.36,0.55,1.008557567,0.407407407,3.0,5.0,1.1,1.83,0.403950573
La0.5Pr0.5FeO3,0.05,rep1,1.611,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep2,1.611,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep3,1.608,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep4,1.611,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep5,1.61,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep6,1.612,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep7,1.61,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep8,1.609,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep9,1.777,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep10,1.725,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep11,1.722,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
La0.5Pr0.5FeO3,0.05,rep12,1.725,1.365,0.55,1.010418374,0.407407407,3.0,5.0,1.115,1.83,0.40320665
PrFeO3,0.05,rep1,1.619,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep2,1.621,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep3,1.619,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep4,1.619,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
PrFeO3,0.05,rep5,1.621,1.37,0.55,1.012279181,0.407407407,3.0,5.0,1.13,1.83,0.402465461
